"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"CSN3",0,2,0,0,0,2.42547497405,0,0,0,0.364856656848175,0.748746608579714,0.618739919794312,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915778551780333,0.999999787711459
"RAB11FIP5",0,3,0,0,0,2.08561955632105,0,0,0,0.390071409105932,0.691265024645336,0.618791271461214,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915803202057354,0.999999787711459
"CTD-2021H9.3",0,0,0,0,0,0,0,0,0,0.347781379262726,0.760240980867369,0.618841941557798,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91582752098396,0.999999787711459
"SH3GLB1",0,0,0,0,0,0,0,0,0,0.350546749543195,0.746167092178466,0.618864117504891,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915838162943031,0.999999787711459
"ZNF383",0,3,0,0,0,1.99845539504326,0,0,0,0.417895965599637,0.639926467955574,0.619046432066972,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91592562329797,0.999999787711459
"TEX28",0,0,0,0,0,0,0,0,0,0.343954639052006,0.783117498194516,0.619053796431259,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915929155019151,0.999999787711459
"SDF2",1,0,0,0,0,0,0,0,0,0.34443182517765,0.78554196543636,0.619059106456855,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915931701488721,0.999999787711459
"DENND4C",0,4,0,0,0,1.68506229203018,0,0,0,0.510620574757085,0.533555627750774,0.619101147430805,1,0.846919908023681,0.904340106794148,0.951742928042244,0.915951861000474,0.999999787711459
"NTN5",1,1,0,0,0,0.420184620109275,0,0,0,0.411631559829601,0.544129713471624,0.619132502639849,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915966894609523,0.999999787711459
"MAML2",1,1,0,0,0,0.429693783828731,0,0,0,0.424509701454354,0.521647892778239,0.619144837594319,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915972808307511,0.999999787711459
"CASP16",0,0,0,0,0,0,0,0,0,0.350645171513519,0.746964773352262,0.619150187122019,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915975372933826,0.999999787711459
"PTPDC1",2,1,0,0,0,0.431002992613289,0,0,0,0.408247270804445,0.560734878929065,0.619184564324342,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915991852664906,0.999999787711459
"SMARCD1",1,2,0,0,0,2.14356795575237,0,0,0,0.410155941223143,0.635036413169321,0.61921474058557,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916006316977306,0.999999787711459
"BTN2A2",0,2,0,0,0,2.3870162503478,0,0,0,0.37318748067522,0.72626524858412,0.619227551359595,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916012457089146,0.999999787711459
